Myanmar,Gross Domestic Product ,in million current US$,"66,491"
Nepal,Gross Domestic Product ,in million current US$,"25,285"
Sri Lanka,Gross Domestic Product ,in million current US$,"87,357"
Thailand,Gross Domestic Product ,in million current US$,"455,275"
Timor-Leste,Gross Domestic Product ,in million current US$,"2,778"
Australia,Gross Domestic Product ,in million current US$,"1,416,106"
Brunei Darussalam,Gross Domestic Product ,in million current US$,"12,128"
Cambodia,Gross Domestic Product ,in million current US$,"22,194"
China,Gross Domestic Product ,in million current US$,"12,062,280"
Cook Islands,Gross Domestic Product ,in million current US$,309
Fiji,Gross Domestic Product ,in million current US$,"4,874"
Japan,Gross Domestic Product ,in million current US$,"4,859,951"
Kiribati,Gross Domestic Product ,in million current US$,185
Lao People's Democratic Republic,Gross Domestic Product ,in million current US$,"16,853"
Malaysia,Gross Domestic Product ,in million current US$,"314,707"
Marshall Islands,Gross Domestic Product ,in million current US$,208
Micronesia (Federated States of),Gross Domestic Product ,in million current US$,363
Mongolia,Gross Domestic Product ,in million current US$,"11,434"
Nauru,Gross Domestic Product ,in million current US$,114
New Zealand,Gross Domestic Product ,in million current US$,"202,047"
Niue,Gross Domestic Product ,in million current US$,23
Palau,Gross Domestic Product ,in million current US$,290
Papua New Guinea,Gross Domestic Product ,in million current US$,"20,536"
Philippines,Gross Domestic Product ,in million current US$,"313,595"
Republic of Korea,Gross Domestic Product ,in million current US$,"1,530,751"
Samoa,Gross Domestic Product ,in million current US$,835
Singapore,Gross Domestic Product ,in million current US$,"336,679"
Solomon Islands,Gross Domestic Product ,in million current US$,"1,321"
Tonga,Gross Domestic Product ,in million current US$,455
Tuvalu,Gross Domestic Product ,in million current US$,41
Vanuatu,Gross Domestic Product ,in million current US$,880
Viet Nam,Gross Domestic Product ,in million current US$,"223,780"
