"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",20.68,
"POL","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",20.387,
"PRT","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",15.468,
"PRT","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",15.043,
"PRT","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",14.596,
"SVK","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",26.866,
"SVK","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",26.594,
"SVK","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",26.39,
"ESP","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",18.023,
"ESP","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",19.041,
"ESP","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",18.554,
"SWE","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",9.867,
"SWE","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",10.129,
"SWE","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",9.79,
"CHE","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",13.718,
"CHE","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",13.809,
"CHE","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",13.478,
"GBR","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",11.778,
"GBR","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",11.79,
"GBR","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",11.888,
"USA","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",12.607,
"USA","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",12.323,
"USA","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",11.957,
"EST","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",18.22,
"EST","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",19.026,
"EST","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",18.185,
"SVN","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",18.293,
"SVN","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",18.302,
"SVN","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",18.395,
"ISR","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",13.41,
"LVA","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",27.649,
"LVA","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",28.286,
"LVA","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",27.404,
"LTU","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",26.869,
"LTU","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",27.189,
"LTU","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",25.775,
"BGR","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",40.713,
"BGR","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",41.521,
"BGR","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",41.248,
"HRV","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",20.186,
"HRV","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",20.711,
"HRV","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",20.612,
"CYP","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",19.025,
"CYP","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",19.329,
"CYP","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",18.969,
"ROU","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",33.431,
"ROU","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",31.075,
"ROU","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",25.966,
"RUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",27.943,
"RUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",28.776,
"RUS","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",28.993,
"CRI","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",14.541,
"CRI","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",13.614,
"MLT","PHARMAEXP","TOT","PC_HEALTHXP","A","2015",17.907,
"MLT","PHARMAEXP","TOT","PC_HEALTHXP","A","2016",15.694,
"MLT","PHARMAEXP","TOT","PC_HEALTHXP","A","2017",16.177,
