"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","MEDICALGRAD","TOT","100000HAB","A","2017",16.09,
"SVK","MEDICALGRAD","TOT","100000HAB","A","2015",15.63,
"SVK","MEDICALGRAD","TOT","100000HAB","A","2016",16.04,
"SVK","MEDICALGRAD","TOT","100000HAB","A","2017",16.88,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2015",13.03,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2016",13.39,
"ESP","MEDICALGRAD","TOT","100000HAB","A","2017",14.48,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2015",12.41,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2016",10.16,
"SWE","MEDICALGRAD","TOT","100000HAB","A","2017",11.46,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2015",10.79,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2016",10.57,
"CHE","MEDICALGRAD","TOT","100000HAB","A","2017",11.19,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2015",8.82,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2016",9.65,
"TUR","MEDICALGRAD","TOT","100000HAB","A","2017",10.62,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2015",12.83,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2016",12.86,
"GBR","MEDICALGRAD","TOT","100000HAB","A","2017",12.87,"P"
"USA","MEDICALGRAD","TOT","100000HAB","A","2015",7.48,
"USA","MEDICALGRAD","TOT","100000HAB","A","2016",7.55,
"USA","MEDICALGRAD","TOT","100000HAB","A","2017",7.76,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2015",9.4,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2016",9.04,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2017",8.69,
"CHL","MEDICALGRAD","TOT","100000HAB","A","2018",8.82,
"EST","MEDICALGRAD","TOT","100000HAB","A","2015",10.11,
"EST","MEDICALGRAD","TOT","100000HAB","A","2016",11.02,
"EST","MEDICALGRAD","TOT","100000HAB","A","2017",11.46,
"EST","MEDICALGRAD","TOT","100000HAB","A","2018",10.31,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2015",5.47,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2016",6.76,
"ISR","MEDICALGRAD","TOT","100000HAB","A","2017",6.9,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2015",17.35,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2016",15.88,
"SVN","MEDICALGRAD","TOT","100000HAB","A","2017",17.47,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2015",16.18,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2016",16.33,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2017",17.35,
"LVA","MEDICALGRAD","TOT","100000HAB","A","2018",22.13,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2015",16.39,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2016",16.11,
"LTU","MEDICALGRAD","TOT","100000HAB","A","2017",19.27,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2015",0,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2016",0,
"LUX","MEDICALGRAD","TOT","100000HAB","A","2017",0,
