Switzerland,Current Health Expenditure (CHE) per Capita in US$,,"9,956"
Tajikistan,Current Health Expenditure (CHE) per Capita in US$,,58
The Republic of North Macedonia,Current Health Expenditure (CHE) per Capita in US$,,328
Turkey,Current Health Expenditure (CHE) per Capita in US$,,445
Turkmenistan,Current Health Expenditure (CHE) per Capita in US$,,456
Ukraine,Current Health Expenditure (CHE) per Capita in US$,,177
United Kingdom,Current Health Expenditure (CHE) per Capita in US$,,"3,859"
Uzbekistan,Current Health Expenditure (CHE) per Capita in US$,,99
Bangladesh,Current Health Expenditure (CHE) per Capita in US$,,36
Bhutan,Current Health Expenditure (CHE) per Capita in US$,,97
India,Current Health Expenditure (CHE) per Capita in US$,,69
Indonesia,Current Health Expenditure (CHE) per Capita in US$,,115
Maldives,Current Health Expenditure (CHE) per Capita in US$,,"1,007"
Myanmar,Current Health Expenditure (CHE) per Capita in US$,,58
Nepal,Current Health Expenditure (CHE) per Capita in US$,,48
Sri Lanka,Current Health Expenditure (CHE) per Capita in US$,,159
Thailand,Current Health Expenditure (CHE) per Capita in US$,,247
Timor-Leste,Current Health Expenditure (CHE) per Capita in US$,,83
Australia,Current Health Expenditure (CHE) per Capita in US$,,"5,332"
Brunei Darussalam,Current Health Expenditure (CHE) per Capita in US$,,671
Cambodia,Current Health Expenditure (CHE) per Capita in US$,,82
China,Current Health Expenditure (CHE) per Capita in US$,,441
Cook Islands,Current Health Expenditure (CHE) per Capita in US$,,589
Fiji,Current Health Expenditure (CHE) per Capita in US$,,188
Japan,Current Health Expenditure (CHE) per Capita in US$,,"4,169"
Kiribati,Current Health Expenditure (CHE) per Capita in US$,,171
Lao People's Democratic Republic,Current Health Expenditure (CHE) per Capita in US$,,62
Malaysia,Current Health Expenditure (CHE) per Capita in US$,,374
Marshall Islands,Current Health Expenditure (CHE) per Capita in US$,,642
Micronesia (Federated States of),Current Health Expenditure (CHE) per Capita in US$,,425
Mongolia,Current Health Expenditure (CHE) per Capita in US$,,149
Nauru,Current Health Expenditure (CHE) per Capita in US$,,"1,107"
New Zealand,Current Health Expenditure (CHE) per Capita in US$,,"3,937"
Niue,Current Health Expenditure (CHE) per Capita in US$,,"1,259"
Palau,Current Health Expenditure (CHE) per Capita in US$,,"1,596"
Papua New Guinea,Current Health Expenditure (CHE) per Capita in US$,,61
Philippines,Current Health Expenditure (CHE) per Capita in US$,,133
Republic of Korea,Current Health Expenditure (CHE) per Capita in US$,,"2,283"
Samoa,Current Health Expenditure (CHE) per Capita in US$,,233
Singapore,Current Health Expenditure (CHE) per Capita in US$,,"2,619"
Solomon Islands,Current Health Expenditure (CHE) per Capita in US$,,101
Tonga,Current Health Expenditure (CHE) per Capita in US$,,222
Tuvalu,Current Health Expenditure (CHE) per Capita in US$,,622
Vanuatu,Current Health Expenditure (CHE) per Capita in US$,,106
Viet Nam,Current Health Expenditure (CHE) per Capita in US$,,130
